WARNING 2026-02-11 07:58:02,010 log 10764 Not Found: /static/admin/css/login.css
WARNING 2026-02-11 07:58:02,011 log 10764 Not Found: /static/admin/css/nav_sidebar.css
WARNING 2026-02-11 07:58:02,011 log 10764 Not Found: /static/admin/css/dark_mode.css
WARNING 2026-02-11 07:58:02,012 log 10764 Not Found: /static/admin/js/theme.js
WARNING 2026-02-11 07:58:02,014 log 10764 Not Found: /static/admin/css/responsive.css
WARNING 2026-02-11 07:58:02,019 log 10764 Not Found: /static/admin/js/nav_sidebar.js
WARNING 2026-02-11 07:58:02,956 log 10764 Not Found: /static/admin/css/base.css
WARNING 2026-02-11 07:58:02,958 log 10764 Not Found: /static/admin/css/nav_sidebar.css
WARNING 2026-02-11 07:58:02,958 log 10764 Not Found: /static/admin/css/responsive.css
WARNING 2026-02-11 07:58:02,959 log 10764 Not Found: /static/admin/js/theme.js
WARNING 2026-02-11 07:58:02,960 log 10764 Not Found: /static/admin/css/dark_mode.css
WARNING 2026-02-11 07:58:02,961 log 10764 Not Found: /static/admin/css/login.css
WARNING 2026-02-11 07:58:02,964 log 10764 Not Found: /static/admin/js/nav_sidebar.js
WARNING 2026-02-11 07:58:02,983 log 10764 Not Found: /favicon.ico
WARNING 2026-02-11 07:58:03,221 log 10764 Not Found: /static/admin/css/base.css
WARNING 2026-02-11 07:58:03,222 log 10764 Not Found: /static/admin/css/dark_mode.css
WARNING 2026-02-11 07:58:03,223 log 10764 Not Found: /static/admin/css/nav_sidebar.css
WARNING 2026-02-11 07:58:03,224 log 10764 Not Found: /static/admin/css/login.css
WARNING 2026-02-11 07:58:03,225 log 10764 Not Found: /static/admin/css/responsive.css
WARNING 2026-02-11 07:58:03,226 log 10764 Not Found: /static/admin/js/theme.js
WARNING 2026-02-11 07:58:03,231 log 10764 Not Found: /static/admin/js/nav_sidebar.js
WARNING 2026-02-11 07:58:03,250 log 10764 Not Found: /favicon.ico
WARNING 2026-02-11 07:58:50,080 log 10764 Not Found: /static/admin/css/base.css
WARNING 2026-02-11 07:58:50,081 log 10764 Not Found: /static/admin/css/dark_mode.css
WARNING 2026-02-11 07:58:50,081 log 10764 Not Found: /static/admin/css/nav_sidebar.css
WARNING 2026-02-11 07:58:50,083 log 10764 Not Found: /static/admin/css/responsive.css
WARNING 2026-02-11 07:58:50,083 log 10764 Not Found: /static/admin/js/theme.js
WARNING 2026-02-11 07:58:50,084 log 10764 Not Found: /static/admin/css/login.css
WARNING 2026-02-11 07:58:50,086 log 10764 Not Found: /static/admin/js/nav_sidebar.js
WARNING 2026-02-11 07:59:24,101 log 10764 Not Found: /static/admin/css/base.css
WARNING 2026-02-11 07:59:24,102 log 10764 Not Found: /static/admin/css/nav_sidebar.css
WARNING 2026-02-11 07:59:24,102 log 10764 Not Found: /static/admin/js/theme.js
WARNING 2026-02-11 07:59:24,102 log 10764 Not Found: /static/admin/css/responsive.css
WARNING 2026-02-11 07:59:24,104 log 10764 Not Found: /static/admin/css/dark_mode.css
WARNING 2026-02-11 07:59:24,105 log 10764 Not Found: /static/admin/css/login.css
WARNING 2026-02-11 07:59:24,108 log 10764 Not Found: /static/admin/js/nav_sidebar.js
WARNING 2026-02-11 07:59:25,139 log 10764 Not Found: /static/admin/css/base.css
WARNING 2026-02-11 07:59:25,139 log 10764 Not Found: /static/admin/css/dark_mode.css
WARNING 2026-02-11 07:59:25,140 log 10764 Not Found: /static/admin/js/theme.js
WARNING 2026-02-11 07:59:25,141 log 10764 Not Found: /static/admin/css/login.css
WARNING 2026-02-11 07:59:25,142 log 10764 Not Found: /static/admin/css/responsive.css
WARNING 2026-02-11 07:59:25,142 log 10764 Not Found: /static/admin/css/nav_sidebar.css
WARNING 2026-02-11 07:59:25,147 log 10764 Not Found: /static/admin/js/nav_sidebar.js
WARNING 2026-02-11 07:59:30,116 log 10764 Not Found: /static/admin/css/base.css
WARNING 2026-02-11 07:59:30,117 log 10764 Not Found: /static/admin/css/dark_mode.css
WARNING 2026-02-11 07:59:30,118 log 10764 Not Found: /static/admin/css/nav_sidebar.css
WARNING 2026-02-11 07:59:30,119 log 10764 Not Found: /static/admin/css/login.css
WARNING 2026-02-11 07:59:30,119 log 10764 Not Found: /static/admin/css/responsive.css
WARNING 2026-02-11 07:59:30,140 log 10764 Not Found: /.well-known/appspecific/com.chrome.devtools.json
WARNING 2026-02-11 07:59:35,412 log 10764 Not Found: /.well-known/appspecific/com.chrome.devtools.json
WARNING 2026-02-11 07:59:40,617 log 10764 Not Found: /.well-known/appspecific/com.chrome.devtools.json
WARNING 2026-02-11 08:00:14,811 log 10764 Not Found: /.well-known/appspecific/com.chrome.devtools.json
WARNING 2026-02-11 08:00:34,542 log 10764 Not Found: /.well-known/appspecific/com.chrome.devtools.json
WARNING 2026-02-11 08:00:34,544 log 10764 Not Found: /static/admin/css/base.css
WARNING 2026-02-11 08:00:34,544 log 10764 Not Found: /static/admin/css/dark_mode.css
WARNING 2026-02-11 08:00:34,546 log 10764 Not Found: /static/admin/css/login.css
WARNING 2026-02-11 08:00:34,546 log 10764 Not Found: /static/admin/css/responsive.css
WARNING 2026-02-11 08:00:34,547 log 10764 Not Found: /static/admin/css/nav_sidebar.css
WARNING 2026-02-11 08:00:34,571 log 10764 Not Found: /static/admin/js/theme.js
WARNING 2026-02-11 08:00:34,572 log 10764 Not Found: /static/admin/js/nav_sidebar.js
WARNING 2026-02-11 08:00:42,545 log 10764 Not Found: /static/admin/css/base.css
WARNING 2026-02-11 08:00:42,546 log 10764 Not Found: /static/admin/css/dark_mode.css
WARNING 2026-02-11 08:00:42,547 log 10764 Not Found: /static/admin/css/nav_sidebar.css
